date,confirmed_cases
2021-10-03,1482
2021-10-04,1480
2021-10-05,1521
2021-10-06,1511
2021-10-07,1505
2021-10-08,1506
2021-10-09,1420
2021-10-10,1431
2021-10-11,1474
2021-10-12,1467
2021-10-13,1445
2021-10-14,1442
2021-10-15,1398
2021-10-16,1478
2021-10-17,1425
2021-10-18,1485
2021-10-19,1398
2021-10-20,1358
2021-10-21,1322
2021-10-22,1289
2021-10-23,1265
2021-10-24,1292
2021-10-25,1297
2021-10-26,1294
2021-10-27,1181
2021-10-28,1141
2021-10-29,1117
2021-10-30,1104
2021-10-31,1055
2021-11-01,1060
2021-11-02,1011
2021-11-03,978
2021-11-04,972
2021-11-05,928
2021-11-06,932
2021-11-07,850
2021-11-08,834
2021-11-09,850
2021-11-10,724
2021-11-11,702
2021-11-12,681
2021-11-13,654
2021-11-14,638
2021-11-15,614
2021-11-16,628
2021-11-17,595
2021-11-18,571
2021-11-19,556
2021-11-20,535
2021-11-21,542
2021-11-22,559
2021-11-23,544
2021-11-24,525
2021-11-25,556
2021-11-26,550
2021-11-27,530
2021-11-28,505
2021-11-29,535
2021-11-30,535
2021-12-01,524
2021-12-02,506
2021-12-03,507
2021-12-04,511
2021-12-05,535
2021-12-06,556
2021-12-07,538
2021-12-08,525
2021-12-09,534
2021-12-10,539
2021-12-11,536
2021-12-12,531
2021-12-13,565
2021-12-14,606
2021-12-15,622
2021-12-16,669
2021-12-17,712
2021-12-18,714
2021-12-19,756
2021-12-20,821
2021-12-21,847
2021-12-22,875
2021-12-23,939
2021-12-24,992
2021-12-25,979
2021-12-26,1054
2021-12-27,1099
2021-12-28,1143
2021-12-29,1310
2021-12-30,1477
2021-12-31,1459
