date,confirmed_cases
2021-10-03,294
2021-10-04,291
2021-10-05,293
2021-10-06,284
2021-10-07,299
2021-10-08,287
2021-10-09,282
2021-10-10,287
2021-10-11,289
2021-10-12,301
2021-10-13,298
2021-10-14,291
2021-10-15,303
2021-10-16,302
2021-10-17,289
2021-10-18,288
2021-10-19,278
2021-10-20,272
2021-10-21,266
2021-10-22,271
2021-10-23,267
2021-10-24,265
2021-10-25,268
2021-10-26,256
2021-10-27,235
2021-10-28,219
2021-10-29,210
2021-10-30,216
2021-10-31,206
2021-11-01,213
2021-11-02,199
2021-11-03,185
2021-11-04,178
2021-11-05,170
2021-11-06,161
2021-11-07,148
2021-11-08,139
2021-11-09,132
2021-11-10,125
2021-11-11,119
2021-11-12,116
2021-11-13,109
2021-11-14,107
2021-11-15,110
2021-11-16,104
2021-11-17,91
2021-11-18,92
2021-11-19,85
2021-11-20,83
2021-11-21,88
2021-11-22,74
2021-11-23,78
2021-11-24,87
2021-11-25,79
2021-11-26,73
2021-11-27,68
2021-11-28,68
2021-11-29,70
2021-11-30,67
2021-12-01,68
2021-12-02,65
2021-12-03,68
2021-12-04,70
2021-12-05,67
2021-12-06,70
2021-12-07,75
2021-12-08,77
2021-12-09,77
2021-12-10,85
2021-12-11,93
2021-12-12,97
2021-12-13,101
2021-12-14,101
2021-12-15,108
2021-12-16,113
2021-12-17,106
2021-12-18,110
2021-12-19,109
2021-12-20,114
2021-12-21,113
2021-12-22,112
2021-12-23,121
2021-12-24,131
2021-12-25,126
2021-12-26,133
2021-12-27,140
2021-12-28,135
2021-12-29,126
2021-12-30,122
2021-12-31,128
