date,confirmed_cases
2021-10-06,2017
2021-10-07,2232
2021-10-08,2487
2021-10-09,2551
2021-10-10,2372
2021-10-11,2115
2021-10-12,1833
2021-10-13,2024
2021-10-14,2706
2021-10-15,2581
2021-10-16,2322
2021-10-17,2139
2021-10-18,2169
2021-10-19,2023
2021-10-20,2126
2021-10-21,2615
2021-10-22,2510
2021-10-23,2083
2021-10-24,2232
2021-10-25,1755
2021-10-26,1796
2021-10-27,1840
2021-10-28,2217
2021-10-29,1925
2021-10-30,1592
2021-10-31,1214
2021-11-01,1608
2021-11-02,1162
2021-11-03,1131
2021-11-04,1560
2021-11-05,1595
2021-11-06,1542
2021-11-07,1420
2021-11-08,1313
2021-11-09,1295
2021-11-10,1224
2021-11-11,1580
2021-11-12,1407
2021-11-13,1478
2021-11-14,1101
2021-11-15,1029
2021-11-16,1018
2021-11-17,1237
2021-11-18,1276
2021-11-19,1493
2021-11-20,1350
2021-11-21,1463
2021-11-22,1212
2021-11-23,1005
2021-11-24,1448
2021-11-25,1546
2021-11-26,1625
2021-11-27,1492
2021-11-28,1251
2021-11-29,1167
2021-11-30,1100
2021-12-01,1436
2021-12-02,1714
2021-12-03,1538
2021-12-04,1703
2021-12-05,1278
2021-12-06,1290
2021-12-07,1450
2021-12-08,1722
2021-12-09,1663
2021-12-10,1742
2021-12-11,1761
2021-12-12,1568
2021-12-13,1867
2021-12-14,2012
2021-12-15,2807
2021-12-16,3412
2021-12-17,3777
2021-12-18,4092
2021-12-19,3940
2021-12-20,3973
2021-12-21,4561
2021-12-22,5671
2021-12-23,8610
2021-12-24,9026
2021-12-25,9851
2021-12-26,9548
2021-12-27,9997
2021-12-28,11015
2021-12-29,18105
2021-12-30,21093
2021-12-31,32484
2022-01-01,34878
2022-01-02,31841
2022-01-03,36704
