state,date,confirmed_cases
NSW,2021-10-03,195
NSW,2021-10-04,193
NSW,2021-10-05,190
NSW,2021-10-06,188
NSW,2021-10-07,181
NSW,2021-10-08,170
NSW,2021-10-09,163
NSW,2021-10-10,159
NSW,2021-10-11,153
NSW,2021-10-12,155
NSW,2021-10-13,150
NSW,2021-10-14,143
NSW,2021-10-15,145
NSW,2021-10-16,138
NSW,2021-10-17,137
NSW,2021-10-18,132
NSW,2021-10-19,128
NSW,2021-10-20,124
NSW,2021-10-21,124
NSW,2021-10-22,125
NSW,2021-10-23,123
NSW,2021-10-24,119
NSW,2021-10-25,116
NSW,2021-10-26,109
NSW,2021-10-27,97
NSW,2021-10-28,82
NSW,2021-10-29,80
NSW,2021-10-30,81
NSW,2021-10-31,78
NSW,2021-11-01,77
NSW,2021-11-02,72
NSW,2021-11-03,68
NSW,2021-11-04,64
NSW,2021-11-05,61
NSW,2021-11-06,55
NSW,2021-11-07,52
NSW,2021-11-08,48
NSW,2021-11-09,42
NSW,2021-11-10,41
NSW,2021-11-11,40
NSW,2021-11-12,34
NSW,2021-11-13,32
NSW,2021-11-14,32
NSW,2021-11-15,32
NSW,2021-11-16,32
NSW,2021-11-17,33
NSW,2021-11-18,29
NSW,2021-11-19,28
NSW,2021-11-20,28
NSW,2021-11-21,32
NSW,2021-11-22,30
NSW,2021-11-23,34
NSW,2021-11-24,35
NSW,2021-11-25,31
NSW,2021-11-26,27
NSW,2021-11-27,26
NSW,2021-11-28,24
NSW,2021-11-29,25
NSW,2021-11-30,26
NSW,2021-12-01,25
NSW,2021-12-02,24
NSW,2021-12-03,25
NSW,2021-12-04,25
NSW,2021-12-05,26
NSW,2021-12-06,24
NSW,2021-12-07,28
NSW,2021-12-08,25
NSW,2021-12-09,25
NSW,2021-12-10,24
NSW,2021-12-11,25
NSW,2021-12-12,23
NSW,2021-12-13,24
NSW,2021-12-14,21
NSW,2021-12-15,24
NSW,2021-12-16,26
NSW,2021-12-17,24
NSW,2021-12-18,26
NSW,2021-12-19,28
NSW,2021-12-20,33
NSW,2021-12-21,39
NSW,2021-12-22,40
NSW,2021-12-23,45
NSW,2021-12-24,53
NSW,2021-12-25,52
NSW,2021-12-26,52
NSW,2021-12-27,55
NSW,2021-12-28,60
NSW,2021-12-29,61
NSW,2021-12-30,63
NSW,2021-12-31,69
VIC,2021-10-03,98
VIC,2021-10-04,96
VIC,2021-10-05,101
VIC,2021-10-06,94
VIC,2021-10-07,115
VIC,2021-10-08,114
VIC,2021-10-09,117
VIC,2021-10-10,126
VIC,2021-10-11,133
VIC,2021-10-12,144
VIC,2021-10-13,146
VIC,2021-10-14,147
VIC,2021-10-15,157
VIC,2021-10-16,163
VIC,2021-10-17,151
VIC,2021-10-18,155
VIC,2021-10-19,149
VIC,2021-10-20,147
VIC,2021-10-21,141
VIC,2021-10-22,145
VIC,2021-10-23,144
VIC,2021-10-24,146
VIC,2021-10-25,152
VIC,2021-10-26,147
VIC,2021-10-27,138
VIC,2021-10-28,137
VIC,2021-10-29,130
VIC,2021-10-30,135
VIC,2021-10-31,128
VIC,2021-11-01,136
VIC,2021-11-02,127
VIC,2021-11-03,117
VIC,2021-11-04,114
VIC,2021-11-05,109
VIC,2021-11-06,106
VIC,2021-11-07,96
VIC,2021-11-08,91
VIC,2021-11-09,90
VIC,2021-11-10,84
VIC,2021-11-11,79
VIC,2021-11-12,82
VIC,2021-11-13,77
VIC,2021-11-14,75
VIC,2021-11-15,78
VIC,2021-11-16,72
VIC,2021-11-17,58
VIC,2021-11-18,63
VIC,2021-11-19,57
VIC,2021-11-20,55
VIC,2021-11-21,56
VIC,2021-11-22,44
VIC,2021-11-23,44
VIC,2021-11-24,52
VIC,2021-11-25,48
VIC,2021-11-26,46
VIC,2021-11-27,42
VIC,2021-11-28,44
VIC,2021-11-29,45
VIC,2021-11-30,41
VIC,2021-12-01,43
VIC,2021-12-02,41
VIC,2021-12-03,43
VIC,2021-12-04,44
VIC,2021-12-05,40
VIC,2021-12-06,45
VIC,2021-12-07,47
VIC,2021-12-08,51
VIC,2021-12-09,52
VIC,2021-12-10,61
VIC,2021-12-11,68
VIC,2021-12-12,74
VIC,2021-12-13,77
VIC,2021-12-14,80
VIC,2021-12-15,84
VIC,2021-12-16,87
VIC,2021-12-17,82
VIC,2021-12-18,84
VIC,2021-12-19,81
VIC,2021-12-20,81
VIC,2021-12-21,73
VIC,2021-12-22,70
VIC,2021-12-23,72
VIC,2021-12-24,75
VIC,2021-12-25,71
VIC,2021-12-26,77
VIC,2021-12-27,80
VIC,2021-12-28,69
VIC,2021-12-29,62
VIC,2021-12-30,55
VIC,2021-12-31,54
QLD,2021-10-03,0
QLD,2021-10-04,0
QLD,2021-10-05,0
QLD,2021-10-06,0
QLD,2021-10-07,0
QLD,2021-10-08,0
QLD,2021-10-09,0
QLD,2021-10-10,0
QLD,2021-10-11,1
QLD,2021-10-12,1
QLD,2021-10-13,1
QLD,2021-10-14,0
QLD,2021-10-15,1
QLD,2021-10-16,1
QLD,2021-10-17,1
QLD,2021-10-18,1
QLD,2021-10-19,1
QLD,2021-10-20,1
QLD,2021-10-21,1
QLD,2021-10-22,1
QLD,2021-10-23,0
QLD,2021-10-24,0
QLD,2021-10-25,0
QLD,2021-10-26,0
QLD,2021-10-27,0
QLD,2021-10-28,0
QLD,2021-10-29,0
QLD,2021-10-30,0
QLD,2021-10-31,0
QLD,2021-11-01,0
QLD,2021-11-02,0
QLD,2021-11-03,0
QLD,2021-11-04,0
QLD,2021-11-05,0
QLD,2021-11-06,0
QLD,2021-11-07,0
QLD,2021-11-08,0
QLD,2021-11-09,0
QLD,2021-11-10,0
QLD,2021-11-11,0
QLD,2021-11-12,0
QLD,2021-11-13,0
QLD,2021-11-14,0
QLD,2021-11-15,0
QLD,2021-11-16,0
QLD,2021-11-17,0
QLD,2021-11-18,0
QLD,2021-11-19,0
QLD,2021-11-20,0
QLD,2021-11-21,0
QLD,2021-11-22,0
QLD,2021-11-23,0
QLD,2021-11-24,0
QLD,2021-11-25,0
QLD,2021-11-26,0
QLD,2021-11-27,0
QLD,2021-11-28,0
QLD,2021-11-29,0
QLD,2021-11-30,0
QLD,2021-12-01,0
QLD,2021-12-02,0
QLD,2021-12-03,0
QLD,2021-12-04,0
QLD,2021-12-05,0
QLD,2021-12-06,0
QLD,2021-12-07,0
QLD,2021-12-08,0
QLD,2021-12-09,0
QLD,2021-12-10,0
QLD,2021-12-11,0
QLD,2021-12-12,0
QLD,2021-12-13,0
QLD,2021-12-14,0
QLD,2021-12-15,0
QLD,2021-12-16,0
QLD,2021-12-17,0
QLD,2021-12-18,0
QLD,2021-12-19,0
QLD,2021-12-20,0
QLD,2021-12-21,1
QLD,2021-12-22,1
QLD,2021-12-23,1
QLD,2021-12-24,1
QLD,2021-12-25,0
QLD,2021-12-26,0
QLD,2021-12-27,0
QLD,2021-12-28,0
QLD,2021-12-29,0
QLD,2021-12-30,0
QLD,2021-12-31,1
WA,2021-10-03,1
WA,2021-10-04,2
WA,2021-10-05,2
WA,2021-10-06,2
WA,2021-10-07,3
WA,2021-10-08,3
WA,2021-10-09,2
WA,2021-10-10,2
WA,2021-10-11,2
WA,2021-10-12,1
WA,2021-10-13,1
WA,2021-10-14,1
WA,2021-10-15,0
