state,date,confirmed_cases
NSW,2021-10-06,594
NSW,2021-10-07,587
NSW,2021-10-08,648
NSW,2021-10-09,581
NSW,2021-10-10,479
NSW,2021-10-11,498
NSW,2021-10-12,360
NSW,2021-10-13,446
NSW,2021-10-14,407
NSW,2021-10-15,400
NSW,2021-10-16,321
NSW,2021-10-17,301
NSW,2021-10-18,266
NSW,2021-10-19,273
NSW,2021-10-20,283
NSW,2021-10-21,374
NSW,2021-10-22,345
NSW,2021-10-23,333
NSW,2021-10-24,296
NSW,2021-10-25,294
NSW,2021-10-26,284
NSW,2021-10-27,305
NSW,2021-10-28,293
NSW,2021-10-29,269
NSW,2021-10-30,237
NSW,2021-10-31,178
NSW,2021-11-01,136
NSW,2021-11-02,173
NSW,2021-11-03,190
NSW,2021-11-04,309
NSW,2021-11-05,249
NSW,2021-11-06,271
NSW,2021-11-07,244
NSW,2021-11-08,187
NSW,2021-11-09,224
NSW,2021-11-10,217
NSW,2021-11-11,264
NSW,2021-11-12,287
NSW,2021-11-13,256
NSW,2021-11-14,196
NSW,2021-11-15,165
NSW,2021-11-16,212
NSW,2021-11-17,231
NSW,2021-11-18,262
NSW,2021-11-19,216
NSW,2021-11-20,182
NSW,2021-11-21,176
NSW,2021-11-22,180
NSW,2021-11-23,173
NSW,2021-11-24,248
NSW,2021-11-25,276
NSW,2021-11-26,261
NSW,2021-11-27,235
NSW,2021-11-28,185
NSW,2021-11-29,150
NSW,2021-11-30,179
NSW,2021-12-01,251
NSW,2021-12-02,271
NSW,2021-12-03,337
NSW,2021-12-04,325
NSW,2021-12-05,286
NSW,2021-12-06,208
NSW,2021-12-07,260
NSW,2021-12-08,403
NSW,2021-12-09,420
NSW,2021-12-10,516
NSW,2021-12-11,560
NSW,2021-12-12,485
NSW,2021-12-13,536
NSW,2021-12-14,804
NSW,2021-12-15,1360
NSW,2021-12-16,1742
NSW,2021-12-17,2213
NSW,2021-12-18,2482
NSW,2021-12-19,2566
NSW,2021-12-20,2501
NSW,2021-12-21,3057
NSW,2021-12-22,3763
NSW,2021-12-23,5715
NSW,2021-12-24,5612
NSW,2021-12-25,6288
NSW,2021-12-26,6394
NSW,2021-12-27,6324
NSW,2021-12-28,6062
NSW,2021-12-29,11201
NSW,2021-12-30,12226
NSW,2021-12-31,21151
NSW,2022-01-01,22577
NSW,2022-01-02,18278
NSW,2022-01-03,20794
VIC,2021-10-06,1420
VIC,2021-10-07,1638
VIC,2021-10-08,1838
VIC,2021-10-09,1965
VIC,2021-10-10,1890
VIC,2021-10-11,1612
VIC,2021-10-12,1466
VIC,2021-10-13,1572
VIC,2021-10-14,2297
VIC,2021-10-15,2179
VIC,2021-10-16,1993
VIC,2021-10-17,1838
VIC,2021-10-18,1903
VIC,2021-10-19,1749
VIC,2021-10-20,1842
VIC,2021-10-21,2235
VIC,2021-10-22,2160
VIC,2021-10-23,1750
VIC,2021-10-24,1935
VIC,2021-10-25,1461
VIC,2021-10-26,1510
VIC,2021-10-27,1534
VIC,2021-10-28,1923
VIC,2021-10-29,1656
VIC,2021-10-30,1355
VIC,2021-10-31,1036
VIC,2021-11-01,1471
VIC,2021-11-02,989
VIC,2021-11-03,941
VIC,2021-11-04,1247
VIC,2021-11-05,1343
VIC,2021-11-06,1268
VIC,2021-11-07,1173
VIC,2021-11-08,1126
VIC,2021-11-09,1069
VIC,2021-11-10,1003
VIC,2021-11-11,1313
VIC,2021-11-12,1115
VIC,2021-11-13,1221
VIC,2021-11-14,905
VIC,2021-11-15,860
VIC,2021-11-16,797
VIC,2021-11-17,996
VIC,2021-11-18,1007
VIC,2021-11-19,1273
VIC,2021-11-20,1166
VIC,2021-11-21,1275
VIC,2021-11-22,1029
VIC,2021-11-23,827
VIC,2021-11-24,1196
VIC,2021-11-25,1254
VIC,2021-11-26,1362
VIC,2021-11-27,1252
VIC,2021-11-28,1061
VIC,2021-11-29,1007
VIC,2021-11-30,918
VIC,2021-12-01,1179
VIC,2021-12-02,1419
VIC,2021-12-03,1189
VIC,2021-12-04,1365
VIC,2021-12-05,980
VIC,2021-12-06,1073
VIC,2021-12-07,1185
VIC,2021-12-08,1312
VIC,2021-12-09,1232
VIC,2021-12-10,1206
VIC,2021-12-11,1193
VIC,2021-12-12,1069
VIC,2021-12-13,1290
VIC,2021-12-14,1189
VIC,2021-12-15,1405
VIC,2021-12-16,1622
VIC,2021-12-17,1510
VIC,2021-12-18,1504
VIC,2021-12-19,1240
VIC,2021-12-20,1302
VIC,2021-12-21,1245
VIC,2021-12-22,1503
VIC,2021-12-23,2005
VIC,2021-12-24,2095
VIC,2021-12-25,2108
VIC,2021-12-26,1608
VIC,2021-12-27,1999
VIC,2021-12-28,2738
VIC,2021-12-29,3767
VIC,2021-12-30,5137
VIC,2021-12-31,5919
VIC,2022-01-01,7442
VIC,2022-01-02,7172
VIC,2022-01-03,8577
QLD,2021-10-06,3
QLD,2021-10-07,6
QLD,2021-10-08,0
QLD,2021-10-09,3
QLD,2021-10-10,2
QLD,2021-10-11,1
QLD,2021-10-12,4
QLD,2021-10-13,0
QLD,2021-10-14,0
QLD,2021-10-15,2
QLD,2021-10-16,3
QLD,2021-10-17,0
QLD,2021-10-18,0
QLD,2021-10-19,0
QLD,2021-10-20,1
QLD,2021-10-21,5
QLD,2021-10-22,5
QLD,2021-10-23,0
QLD,2021-10-24,0
QLD,2021-10-25,0
QLD,2021-10-26,2
QLD,2021-10-27,1
QLD,2021-10-28,1
QLD,2021-10-29,0
QLD,2021-10-30,0
QLD,2021-10-31,0
QLD,2021-11-01,1
